Complexity,Loss,Equation
1,0.00036188716,"0.014421558"
4,3.3865002e-5,"0.06953961 / exp(x1)"
5,3.0366396e-5,"(0.42323247 ^ x1) * 0.06516237"
6,2.9253615e-5,"0.09283435 / (exp(x1) + 0.49534777)"
7,2.2120914e-5,"((0.55228764 ^ x1) * 0.06967468) + -0.008546826"
9,2.2082157e-5,"(x1 * -0.0015097158) + ((0.5056592 ^ x1) * 0.06164884)"
11,2.2081796e-5,"((0.50096166 ^ x1) * 0.061251216) + ((x1 + -0.32941815) * -0.0015938275)"
12,2.2048938e-5,"((0.55036104 ^ x1) * 0.07032778) + (x1 * tanh(-0.008654253 / x1))"
